cluster,keyword,language,search_volume,keyword_difficulty,cpc,data_source,search_intent,commercial_value,priority,related_keywords,candidate_page,coverage_today,note
Bærbare,billige bærbare computere til virksomheder,da,unknown,unknown,unknown,not measured,commercial,medium,P2,billig erhvervsbærbar,/produkter/baerbare-computere,partial,'Billig' matcher ikke Kestros positionering – lav prioritet.
Bærbare,bærbar computer til kontor,da,unknown,unknown,unknown,not measured,commercial,medium,P1,kontorbærbar; laptop til kontorarbejde,/produkter/baerbare-computere,partial,
Bærbare,erhvervsbærbar,da,unknown,unknown,unknown,not measured,commercial,medium,P1,business bærbar; professionel bærbar,/produkter/baerbare-computere,covered,
Bærbare,brugte laptops,da,unknown,unknown,unknown,not measured,commercial,medium,P1,brugt laptop; laptop brugt,/produkter/baerbare-computere,covered,
Bærbare,hvilken bærbar til virksomheden,da,unknown,unknown,unknown,not measured,informational,medium,P1,vælge bærbar til medarbejdere; krav til firmabærbar,/vejledninger (ny),gap,
Stationære,brugte stationære computere,da,unknown,unknown,unknown,not measured,commercial,high,P0,brugt stationær pc; refurbished desktop,/produkter/stationaere-computere,covered,
Stationære,refurbished stationær pc,da,unknown,unknown,unknown,not measured,commercial,high,P1,renoveret desktop; brugt desktop,/produkter/stationaere-computere,covered,
Stationære,stationær computer til kontor,da,unknown,unknown,unknown,not measured,commercial,medium,P1,kontor-pc; desktop til erhverv,/produkter/stationaere-computere,covered,
Stationære,brugt workstation,da,unknown,unknown,unknown,not measured,commercial,medium,P2,workstation til erhverv; hp zbook brugt,/produkter/stationaere-computere,partial,
Mini-pc,mini pc erhverv,da,unknown,unknown,unknown,not measured,commercial,medium,P1,mini computer kontor; small form factor pc,/produkter/mini-pc,covered,
Mini-pc,brugt mini pc,da,unknown,unknown,unknown,not measured,commercial,medium,P1,refurbished mini pc; tiny pc brugt,/produkter/mini-pc,covered,
Mini-pc,lenovo thinkcentre tiny,da,unknown,unknown,unknown,not measured,commercial,medium,P2,thinkcentre m720q; tiny pc,/modeller/lenovo-thinkcentre-m720q,covered,
Skærme,brugte skærme,da,unknown,unknown,unknown,not measured,commercial,high,P1,brugt computerskærm; refurbished skærm,/produkter/skaerme,covered,
Skærme,refurbished skærme erhverv,da,unknown,unknown,unknown,not measured,commercial,medium,P1,kontorskærm brugt; skærme til virksomheder,/produkter/skaerme,covered,
Skærme,24 tommer skærm til kontor,da,unknown,unknown,unknown,not measured,commercial,medium,P2,"kontorskærm 24""; full hd skærm erhverv",/produkter/skaerme,partial,
Skærme,dobbeltskærm opsætning kontor,da,unknown,unknown,unknown,not measured,informational,medium,P3,to skærme til arbejdsplads,/vejledninger (ny),gap,Kun hvis der skrives en reel guide.
Dockingstationer,dockingstation til bærbar,da,unknown,unknown,unknown,not measured,commercial,medium,P1,docking station erhverv; usb-c dock,/produkter/dockingstationer,covered,
Dockingstationer,brugt dockingstation,da,unknown,unknown,unknown,not measured,commercial,medium,P1,refurbished dock; thinkpad dock brugt,/produkter/dockingstationer,covered,
Dockingstationer,usb-c dock til flere skærme,da,unknown,unknown,unknown,not measured,informational,medium,P2,dock til to skærme; hdmi dock,/produkter/dockingstationer,partial,
Tablets og telefoner,brugte tablets til erhverv,da,unknown,unknown,unknown,not measured,commercial,medium,P2,refurbished ipad erhverv; tablet til virksomhed,/produkter/tablets,covered,
Tablets og telefoner,refurbished ipad virksomhed,da,unknown,unknown,unknown,not measured,commercial,medium,P2,brugt ipad erhverv,/produkter/tablets,partial,
Tablets og telefoner,refurbished mobiltelefoner erhverv,da,unknown,unknown,unknown,not measured,commercial,medium,P2,brugte telefoner til virksomheder; firmatelefoner brugt,/produkter/smartphones,covered,
Tablets og telefoner,brugte iphones til virksomheder,da,unknown,unknown,unknown,not measured,commercial,medium,P2,refurbished iphone erhverv,/produkter/smartphones,partial,
Tablets og telefoner,brugte smartwatches,da,unknown,unknown,unknown,not measured,commercial,low,P3,refurbished smartwatch,/produkter/smartwatches,covered,Svag B2B-relevans – kandidat til fjernelse i trin 3.
Tablets og telefoner,gaming pc brugt,da,unknown,unknown,unknown,not measured,commercial,low,P3,refurbished gaming computer,/produkter/gaming,covered,Forkert publikum for et B2B-domæne – kandidat til fjernelse.
Mærker og modeller,lenovo thinkpad brugt,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,brugt thinkpad t480,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/lenovo-thinkpad-t480,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,thinkpad t14 brugt,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/lenovo-thinkpad-t14,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,thinkpad x1 carbon brugt,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/lenovo-thinkpad-x1-carbon,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,thinkpad l14 erhverv,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/lenovo-thinkpad-l14,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,dell latitude brugt,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/dell-latitude-5410,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,dell latitude 7490 brugt,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/dell-latitude-7490,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,hp elitebook brugt,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/hp-elitebook-840,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,hp elitebook 840 g5 pris,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/hp-elitebook-840,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,hp probook 450 brugt,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/hp-probook-450,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,hp zbook brugt,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/hp-zbook-15,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,dell optiplex brugt,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/dell-optiplex-5060,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,hp elitedesk 800 brugt,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/hp-elitedesk-800,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,lenovo thinkcentre m720q,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/lenovo-thinkcentre-m720q,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,dell ultrasharp u2419h,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/dell-ultrasharp-u2419h,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,hp elitedisplay e243,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/hp-elitedisplay-e243,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,lenovo thinkvision t24i,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/lenovo-thinkvision-t24i,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,dell wd19 dock,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/dell-wd19,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,hp usb-c dock g5,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/hp-usb-c-dock-g5,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,lenovo thinkpad ultra dock,da,unknown,unknown,unknown,not measured,commercial,high,P1,model + brugt/refurbished/pris/specifikationer,/modeller/lenovo-thinkpad-ultra-dock,covered,Modelsider findes allerede – lav-konkurrence long tail med reel købsintention.
Mærker og modeller,thinkpad vs elitebook vs latitude,da,unknown,unknown,unknown,not measured,commercial investigation,high,P1,hvilken erhvervsbærbar er bedst; t-serie vs elitebook,/vejledninger (ny),gap,"Sammenligningsside – høj intention, ingen konkurrent ejer den på dansk."
Mærker og modeller,thinkpad t480 vs t14,da,unknown,unknown,unknown,not measured,commercial investigation,medium,P2,t480 eller t14; hvilken thinkpad,/vejledninger (ny),gap,
Flåde og volumen,computere til flere medarbejdere,da,unknown,unknown,unknown,not measured,commercial,high,P0,indkøb af computere til medarbejdere; flåde af computere,/flaadeloesninger,covered,
Flåde og volumen,it-udstyr til nye medarbejdere,da,unknown,unknown,unknown,not measured,commercial,high,P0,onboarding it; arbejdsplads til ny medarbejder,/ydelser/opstart-af-arbejdspladser,covered,
Flåde og volumen,indkøb af 20 computere,da,unknown,unknown,unknown,not measured,transactional,high,P1,købe 20 bærbare; flere computere til virksomhed,/flaadeloesninger,partial,Long tail der matcher Kestros antalsbånd direkte.
Flåde og volumen,udskiftning af firmacomputere,da,unknown,unknown,unknown,not measured,commercial,high,P1,udskifte medarbejdercomputere; pc-udskiftning virksomhed,/flaadeloesninger,partial,
Flåde og volumen,standardisering af computere i virksomheden,da,unknown,unknown,unknown,not measured,informational,high,P1,samme konfiguration til alle; ens maskiner medarbejdere,/vejledninger (ny),gap,
Flåde og volumen,it-udstyr til nystartet virksomhed,da,unknown,unknown,unknown,not measured,commercial,high,P1,iværksætter it; startup computere,/vejledninger (ny),gap,"Segmentside – reel efterspørgsel, matcher Kestros kunder."
Flåde og volumen,it til mindre virksomheder,da,unknown,unknown,unknown,not measured,commercial,high,P1,smb it; it uden it-afdeling,/vejledninger (ny),gap,
Sourcing og indkøb,it-indkøb til erhverv,da,unknown,unknown,unknown,not measured,commercial,high,P0,indkøb af it-udstyr; it procurement dansk,/ydelser/sourcing-og-indkoeb,covered,
Sourcing og indkøb,it sourcing,da,unknown,unknown,unknown,not measured,commercial,medium,P1,sourcingpartner it; indkøbspartner it,/ydelser/sourcing-og-indkoeb,covered,
Sourcing og indkøb,leverandør af brugt it-udstyr,da,unknown,unknown,unknown,not measured,commercial,high,P0,forhandler refurbished it; b2b leverandør computere,/produkter,partial,
Sourcing og indkøb,leasing eller køb af firmacomputere,da,unknown,unknown,unknown,not measured,commercial investigation,high,P2,it-leasing vs køb; leasing af computere erhverv,/vejledninger (ny),gap,Kestro sælger ikke leasing – kun som sammenligningsindhold.
Sourcing og indkøb,hvad koster brugte computere til erhverv,da,unknown,unknown,unknown,not measured,commercial investigation,high,P0,pris på refurbished computere; hvad koster en brugt bærbar,/priser,covered,Prissiden findes og svarer ærligt uden at opfinde tal.
Opkøb og salg til os,sælg brugt it-udstyr,da,unknown,unknown,unknown,not measured,transactional,high,P0,opkøb af brugt it; sælg firmacomputere,/saelg-til-os,covered,
Opkøb og salg til os,opkøb af brugt it-udstyr,da,unknown,unknown,unknown,not measured,transactional,high,P0,vi køber brugt it; buy back it,/saelg-til-os,covered,"Stærkt konkurrencefelt (Foxway, Datamarked, Brugt-IT)."
Opkøb og salg til os,sælg brugte firmacomputere,da,unknown,unknown,unknown,not measured,transactional,high,P1,sælg gamle medarbejdercomputere,/saelg-til-os,covered,
Opkøb og salg til os,vurdering af brugt it-udstyr,da,unknown,unknown,unknown,not measured,transactional,medium,P2,hvad er mit brugte it værd; pris på brugt hardware,/saelg-til-os,partial,
Opkøb og salg til os,overskudslager it,da,unknown,unknown,unknown,not measured,transactional,medium,P2,returvarer it; demoenheder salg,/ydelser/overskudslager-og-returvarer,covered,"Niche, men Kestro har siden og reel ydelse."
Datasletning og GDPR,sikker datasletning,da,unknown,unknown,unknown,not measured,informational,high,P0,certificeret datasletning; slet data på computer,/vejledninger/slet-data-foer-du-saelger,covered,
Datasletning og GDPR,datasletning virksomhed,da,unknown,unknown,unknown,not measured,commercial,high,P0,datasletning erhverv; gdpr sletning af udstyr,/vejledninger/slet-data-foer-du-saelger,partial,
Datasletning og GDPR,sletterapport,da,unknown,unknown,unknown,not measured,informational,high,P1,dokumentation for datasletning; blancco rapport,/vejledninger/slet-data-foer-du-saelger,partial,Konkret dokumentterm som indkøbere søger på.
Datasletning og GDPR,gdpr ved bortskaffelse af it-udstyr,da,unknown,unknown,unknown,not measured,informational,high,P1,persondata på gamle computere; gdpr hardware,/vejledninger/slet-data-foer-du-saelger,partial,
Datasletning og GDPR,slette harddisk permanent,da,unknown,unknown,unknown,not measured,informational,medium,P2,overskrive harddisk; formatere er ikke nok,/vejledninger/slet-data-foer-du-saelger,covered,
"Stand, kvalitet og garanti",garanti på refurbished computere,da,unknown,unknown,unknown,not measured,commercial investigation,high,P0,garanti brugt computer erhverv; 2 års garanti refurbished,/kvalitet,partial,Konkurrenter lover 1-2 år; Kestro skal svare ærligt på det her.
"Stand, kvalitet og garanti",grade a b c refurbished,da,unknown,unknown,unknown,not measured,informational,high,P1,kvalitetsgrader brugt it; kosmetisk stand,/kvalitet,covered,
"Stand, kvalitet og garanti",hvad betyder grade b,da,unknown,unknown,unknown,not measured,informational,medium,P1,grade b computer; stand på brugt maskine,/kvalitet,covered,
"Stand, kvalitet og garanti",batteritilstand brugt bærbar,da,unknown,unknown,unknown,not measured,informational,high,P1,batterikapacitet procent; powercfg batteryreport,/vejledninger/tjek-brugt-baerbar-foer-koeb,covered,
"Stand, kvalitet og garanti",hvad skal man tjekke på en brugt bærbar,da,unknown,unknown,unknown,not measured,informational,high,P1,tjekliste brugt computer; købe brugt bærbar råd,/vejledninger/tjek-brugt-baerbar-foer-koeb,covered,
"Stand, kvalitet og garanti",er refurbished computere gode,da,unknown,unknown,unknown,not measured,commercial investigation,high,P1,kan man stole på refurbished; refurbished erfaringer,/kvalitet,partial,Indvendingssøgning – høj konverteringsværdi.
Reparation og opgradering,reparation af firmacomputere,da,unknown,unknown,unknown,not measured,commercial,medium,P1,erhvervsreparation pc; it-reparation virksomhed,/reparation,covered,
Reparation og opgradering,opgradere ram i bærbar,da,unknown,unknown,unknown,not measured,informational,medium,P1,mere ram bærbar; ram opgradering,/vejledninger/opgrader-ram-i-baerbar,covered,
Reparation og opgradering,hvor meget ram har man brug for,da,unknown,unknown,unknown,not measured,informational,high,P1,8 eller 16 gb ram; ram til kontorarbejde,/vejledninger (ny),gap,
Reparation og opgradering,skifte ssd i bærbar,da,unknown,unknown,unknown,not measured,informational,medium,P2,ssd opgradering; hdd til ssd,/vejledninger (ny),gap,
Reparation og opgradering,reparere eller købe ny computer,da,unknown,unknown,unknown,not measured,commercial investigation,high,P1,kan det betale sig at reparere; levetid på firmacomputer,/vejledninger/reparere-eller-koebe-ny,covered,
Reparation og opgradering,windows 11 krav gammel computer,da,unknown,unknown,unknown,not measured,informational,high,P0,windows 11 kompatibilitet; tpm 2.0 krav,/vejledninger/windows-11-paa-aeldre-maskine,covered,Windows 10 end-of-life driver reel efterspørgsel lige nu.
Reparation og opgradering,windows 10 support slut virksomhed,da,unknown,unknown,unknown,not measured,informational,high,P0,windows 10 udløber; udskiftning før windows 11,/vejledninger (ny),gap,Tidsbestemt efterspørgsel – stærk anledning til at kontakte Kestro.
Nordisk klargøring,nordisk tastatur på importeret computer,da,unknown,unknown,unknown,not measured,informational,medium,P1,dansk tastaturlayout; æ ø å på bærbar,/ydelser/nordisk-tilpasning,covered,
Nordisk klargøring,dansk tastatur skift,da,unknown,unknown,unknown,not measured,informational,medium,P2,skifte tastatur til dansk layout,/ydelser/nordisk-tilpasning,partial,
Nordisk klargøring,klargøring af computere til medarbejdere,da,unknown,unknown,unknown,not measured,commercial,high,P1,opsætning af firmacomputere; imaging af pc,/ydelser/klargoering-og-test,covered,
Nordisk klargøring,levering af it-udstyr til virksomheder,da,unknown,unknown,unknown,not measured,commercial,medium,P2,it levering erhverv; udrulning af udstyr,/ydelser/levering,covered,
Økonomi og levetid,tco på firmacomputere,da,unknown,unknown,unknown,not measured,informational,high,P2,totalomkostning pc; hvad koster en medarbejdercomputer,/vejledninger (ny),gap,
Økonomi og levetid,levetid på en firmacomputer,da,unknown,unknown,unknown,not measured,informational,medium,P2,hvornår udskifte computere; afskrivning it-udstyr,/vejledninger (ny),gap,
Økonomi og levetid,spare penge på it-indkøb,da,unknown,unknown,unknown,not measured,commercial investigation,medium,P2,billigere it til virksomheden; it-budget,/priser,partial,
Brand,kestro,da,unknown,unknown,unknown,not measured,navigational,high,P0,kestro.dk; kestro it; kestro aarhus,/,covered,"Brandsøgning – skal ejes fuldstændigt, inkl. Google Business Profile."
Brand,kestro anmeldelser,da,unknown,unknown,unknown,not measured,navigational,high,P2,kestro erfaringer; er kestro troværdig,/om-os,gap,Kræver rigtige kunder og profiler først – ingen opdigtede anmeldelser.
Engelsk (sekundært marked),refurbished business laptops,en,unknown,unknown,unknown,not measured,commercial,high,P1,used business laptops; corporate refurbished laptops,/en/produkter/baerbare-computere,covered,Sekundært marked – engelsk side findes allerede.
Engelsk (sekundært marked),used business computers,en,unknown,unknown,unknown,not measured,commercial,high,P1,second hand business pc; refurbished office computers,/en/produkter,covered,
Engelsk (sekundært marked),refurbished laptops for business,en,unknown,unknown,unknown,not measured,commercial,high,P1,business grade refurbished laptops,/en/produkter/baerbare-computere,covered,
Engelsk (sekundært marked),it equipment for companies,en,unknown,unknown,unknown,not measured,commercial,medium,P2,office it equipment supplier,/en/produkter,covered,
Engelsk (sekundært marked),it sourcing partner,en,unknown,unknown,unknown,not measured,commercial,medium,P2,it procurement partner; hardware sourcing,/en/ydelser/sourcing-og-indkoeb,covered,
Engelsk (sekundært marked),bulk laptop purchase for company,en,unknown,unknown,unknown,not measured,transactional,high,P2,buy 20 laptops; fleet laptop purchase,/en/flaadeloesninger,partial,
Engelsk (sekundært marked),refurbished thinkpad t480,en,unknown,unknown,unknown,not measured,commercial,high,P2,used thinkpad t480; thinkpad t480 business,/en/modeller/lenovo-thinkpad-t480,covered,
Engelsk (sekundært marked),refurbished hp elitebook 840,en,unknown,unknown,unknown,not measured,commercial,high,P2,used elitebook 840,/en/modeller/hp-elitebook-840,covered,
Engelsk (sekundært marked),secure data erasure business,en,unknown,unknown,unknown,not measured,informational,high,P2,certified data erasure; erasure report gdpr,/en/vejledninger/slet-data-foer-du-saelger,covered,
Engelsk (sekundært marked),sell used it equipment company,en,unknown,unknown,unknown,not measured,transactional,high,P2,it buy back; sell company laptops,/en/saelg-til-os,covered,
Engelsk (sekundært marked),grade a refurbished meaning,en,unknown,unknown,unknown,not measured,informational,medium,P3,refurbished grades explained,/en/kvalitet,covered,
Engelsk (sekundært marked),nordic keyboard laptop,en,unknown,unknown,unknown,not measured,informational,low,P3,danish keyboard layout laptop,/en/ydelser/nordisk-tilpasning,covered,
Geo og lokalt,brugte computere aarhus,da,unknown,unknown,unknown,not measured,commercial,high,P1,it-udstyr aarhus; refurbished aarhus,/kontakt,gap,"Kestro sidder i Aarhus – lokal intention er reel, men kræver CVR/adresse og Google Business Profile først."
Geo og lokalt,it-udstyr til virksomheder aarhus,da,unknown,unknown,unknown,not measured,commercial,high,P2,erhvervs-it aarhus; it leverandør aarhus,/kontakt,gap,Samme forudsætning som ovenfor.
Geo og lokalt,refurbished computere københavn,da,unknown,unknown,unknown,not measured,commercial,medium,P3,brugte computere sjælland,-,gap,Kun hvis der er en reel tilstedeværelse – ellers ikke.
Geo og lokalt,levering af it-udstyr i hele danmark,da,unknown,unknown,unknown,not measured,commercial,medium,P2,fragt af computere erhverv,/ydelser/levering,partial,
Geo og lokalt,brugt it-udstyr norge,no/da,unknown,unknown,unknown,not measured,commercial,medium,P2,refurbished pc bedrift norge,-,gap,"Norge nævnes i indholdet, men der er ingen norsk sprogversion – se trin 3."
Kerne – refurbished erhvervs-IT,brugte computere med garanti,da,unknown,unknown,unknown,not measured,commercial,high,P1,refurbished med garanti; garanti på brugt pc,/kvalitet,partial,
Kerne – refurbished erhvervs-IT,køb brugte computere til kontoret,da,unknown,unknown,unknown,not measured,transactional,high,P1,indkøb af kontorcomputere,/produkter,partial,
Kerne – refurbished erhvervs-IT,refurbished pc til kontor,da,unknown,unknown,unknown,not measured,commercial,high,P1,kontor-pc brugt,/produkter/stationaere-computere,covered,
Kerne – refurbished erhvervs-IT,b2b refurbished it,da,unknown,unknown,unknown,not measured,commercial,medium,P2,erhvervssalg refurbished,/produkter,partial,
Kerne – refurbished erhvervs-IT,brugt hardware til virksomheder,da,unknown,unknown,unknown,not measured,commercial,medium,P2,genbrugshardware erhverv,/produkter,partial,
Flåde og volumen,indkøb af 50 bærbare,da,unknown,unknown,unknown,not measured,transactional,high,P2,køb af 50 computere; stort it-indkøb,/flaadeloesninger,partial,
Flåde og volumen,computere til hele kontoret,da,unknown,unknown,unknown,not measured,commercial,high,P1,udstyr til alle medarbejdere,/flaadeloesninger,partial,
Flåde og volumen,udrulning af nye computere,da,unknown,unknown,unknown,not measured,commercial,medium,P2,pc-rollout; udskiftning af flåde,/ydelser/levering,partial,
Flåde og volumen,ens computere til alle medarbejdere,da,unknown,unknown,unknown,not measured,commercial,high,P1,standardiseret it-flåde,/flaadeloesninger,partial,
Flåde og volumen,it-udstyr til skoler og institutioner,da,unknown,unknown,unknown,not measured,commercial,medium,P3,offentligt it-indkøb; udbud it,-,gap,Offentligt indkøb kræver udbudserfaring Kestro ikke har beskrevet – ikke prioriteret nu.
Sourcing og indkøb,indkøbspartner it-udstyr,da,unknown,unknown,unknown,not measured,commercial,high,P1,it-indkøbspartner; sourcing af hardware,/ydelser/sourcing-og-indkoeb,covered,
Sourcing og indkøb,skaffe specifik computermodel,da,unknown,unknown,unknown,not measured,transactional,high,P2,kan I skaffe; specialbestilling computer,/ydelser/sourcing-og-indkoeb,partial,Matcher præcis Kestros model: vi sourcer per ordre.
Sourcing og indkøb,tilbud på it-udstyr,da,unknown,unknown,unknown,not measured,transactional,high,P0,få tilbud computere; pristilbud it,/tilbud,covered,Direkte konverteringsterm – den nye /tilbud-side ejer den.
Sourcing og indkøb,hvad koster 20 bærbare til virksomheden,da,unknown,unknown,unknown,not measured,commercial investigation,high,P1,pris på flere computere,/priser,partial,
"Stand, kvalitet og garanti",refurbished garanti 2 år,da,unknown,unknown,unknown,not measured,commercial investigation,medium,P2,2 års garanti brugt computer,/kvalitet,partial,"Konkurrenter markedsfører 2 år – Kestro skal svare ærligt, ikke matche påstanden."
"Stand, kvalitet og garanti",reklamation på brugt it-udstyr,da,unknown,unknown,unknown,not measured,informational,medium,P2,fejl på refurbished; garanti erhvervskøb,/kvalitet,gap,Kræver handelsbetingelser – se P0 i den tidligere gennemgang.
"Stand, kvalitet og garanti",funktionstest af brugt computer,da,unknown,unknown,unknown,not measured,informational,medium,P2,test af refurbished; hvad testes,/ydelser/klargoering-og-test,covered,
Reparation og opgradering,udskift batteri i bærbar,da,unknown,unknown,unknown,not measured,informational,medium,P2,nyt batteri bærbar; batteriskift pris,/reparation,partial,
Reparation og opgradering,langsom computer på arbejdet,da,unknown,unknown,unknown,not measured,informational,high,P1,pc er blevet langsom; hurtigere firmacomputer,/vejledninger (ny),gap,Problem-søgning der fører til opgradering eller udskiftning.
Reparation og opgradering,ssd opgradering firmacomputere,da,unknown,unknown,unknown,not measured,commercial,medium,P2,ssd i stedet for harddisk erhverv,/reparation,partial,
Økonomi og levetid,afskrivning på it-udstyr,da,unknown,unknown,unknown,not measured,informational,medium,P3,bogføring af computere; skat it-udstyr,-,gap,"Regnskabsemne – uden for Kestros kompetence, bør ikke laves side på."
