Keyword,Language,Intent,Category,Primary URL,Primary/Secondary,Priority,Existing/New Page,Cannibalization,B2B intent,Search volume,Keyword difficulty,CPC,Notes
it-udstyr til nye medarbejdere,da,commercial,B2B: flåde,/ydelser/opstart-af-arbejdspladser,Primary,High,Existing,MELLEM – overlapper /flaadeloesninger.,Ja,unknown,unknown,unknown,
indkøb af 20 computere,da,transactional,B2B: flåde,/flaadeloesninger,Secondary,High,Existing,"MELLEM – overlapper /ydelser/opstart-af-arbejdspladser på ""udstyr til medarbejdere"".",Ja,unknown,unknown,unknown,Long tail der matcher Kestros antalsbånd direkte.
udskiftning af firmacomputere,da,commercial,B2B: flåde,/flaadeloesninger,Secondary,High,Existing,"MELLEM – overlapper /ydelser/opstart-af-arbejdspladser på ""udstyr til medarbejdere"".",Ja,unknown,unknown,unknown,
standardisering af computere i virksomheden,da,informational,B2B: flåde,/vejledninger/standardiser-firmacomputere,Primary,High,New,None,Ja,unknown,unknown,unknown,
it-udstyr til nystartet virksomhed,da,commercial,B2B: flåde,/vejledninger/it-til-nystartet-virksomhed,Primary,High,New,None,Ja,unknown,unknown,unknown,"Segmentside – reel efterspørgsel, matcher Kestros kunder."
it til mindre virksomheder,da,commercial,B2B: flåde,/vejledninger/it-til-mindre-virksomheder,Primary,High,New,None,Ja,unknown,unknown,unknown,
it-indkøb til erhverv,da,commercial,B2B: indkøb,/ydelser/sourcing-og-indkoeb,Primary,High,Existing,None,Ja,unknown,unknown,unknown,
it sourcing,da,commercial,B2B: indkøb,/ydelser/sourcing-og-indkoeb,Secondary,Medium,Existing,None,Ja,unknown,unknown,unknown,
leverandør af brugt it-udstyr,da,commercial,B2B: indkøb,/produkter,Secondary,High,Existing,"MELLEM – /modeller bærer også ""brugte erhvervscomputere"" i sin title.",Ja,unknown,unknown,unknown,
leasing eller køb af firmacomputere,da,commercial investigation,B2B: indkøb,/vejledninger/leasing-eller-koeb,Primary,Medium,New,None,Ja,unknown,unknown,unknown,Kestro sælger ikke leasing – kun som sammenligningsindhold.
hvad koster brugte computere til erhverv,da,commercial investigation,B2B: indkøb,/priser,Primary,High,Existing,"LAV – hold ""hvad koster"" her og ""få et tilbud"" på /tilbud, ellers smelter de sammen.",Ja,unknown,unknown,unknown,Prissiden findes og svarer ærligt uden at opfinde tal.
sælg brugt it-udstyr,da,transactional,B2B: opkøb,/saelg-til-os,Primary,High,Existing,None,Ja,unknown,unknown,unknown,
opkøb af brugt it-udstyr,da,transactional,B2B: opkøb,/saelg-til-os,Secondary,High,Existing,None,Ja,unknown,unknown,unknown,"Stærkt konkurrencefelt (Foxway, Datamarked, Brugt-IT)."
sælg brugte firmacomputere,da,transactional,B2B: opkøb,/saelg-til-os,Secondary,High,Existing,None,Ja,unknown,unknown,unknown,
vurdering af brugt it-udstyr,da,transactional,B2B: opkøb,/saelg-til-os,Secondary,Medium,Existing,None,Ja,unknown,unknown,unknown,
overskudslager it,da,transactional,B2B: opkøb,/ydelser/overskudslager-og-returvarer,Primary,Medium,Existing,None,Ja,unknown,unknown,unknown,"Niche, men Kestro har siden og reel ydelse."
sikker datasletning,da,informational,Tillid: data,/vejledninger/slet-data-foer-du-saelger,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,
datasletning virksomhed,da,commercial,Tillid: data,/vejledninger/slet-data-foer-du-saelger,Secondary,High,Existing,None,Ja,unknown,unknown,unknown,
sletterapport,da,informational,Tillid: data,/vejledninger/slet-data-foer-du-saelger,Secondary,High,Existing,None,Delvist,unknown,unknown,unknown,Konkret dokumentterm som indkøbere søger på.
gdpr ved bortskaffelse af it-udstyr,da,informational,Tillid: data,/vejledninger/slet-data-foer-du-saelger,Secondary,High,Existing,None,Delvist,unknown,unknown,unknown,
slette harddisk permanent,da,informational,Tillid: data,/vejledninger/slet-data-foer-du-saelger,Secondary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
garanti på refurbished computere,da,commercial investigation,Tillid: stand,/kvalitet,Primary,High,Existing,"MELLEM – overlapper /vejledninger/tjek-brugt-baerbar-foer-koeb (stand, batteri) og /ydelser/klargoering-og-test (funktionstest).",Delvist,unknown,unknown,unknown,Konkurrenter lover 1-2 år; Kestro skal svare ærligt på det her.
grade a b c refurbished,da,informational,Tillid: stand,/kvalitet,Secondary,High,Existing,"MELLEM – overlapper /vejledninger/tjek-brugt-baerbar-foer-koeb (stand, batteri) og /ydelser/klargoering-og-test (funktionstest).",Delvist,unknown,unknown,unknown,
hvad betyder grade b,da,informational,Tillid: stand,/kvalitet,Secondary,Medium,Existing,"MELLEM – overlapper /vejledninger/tjek-brugt-baerbar-foer-koeb (stand, batteri) og /ydelser/klargoering-og-test (funktionstest).",Delvist,unknown,unknown,unknown,
batteritilstand brugt bærbar,da,informational,Tillid: stand,/vejledninger/tjek-brugt-baerbar-foer-koeb,Secondary,High,Existing,"MELLEM – overlapper /kvalitet. Guiden skal være køberens tjekliste, /kvalitet vores standard.",Delvist,unknown,unknown,unknown,
hvad skal man tjekke på en brugt bærbar,da,informational,Tillid: stand,/vejledninger/tjek-brugt-baerbar-foer-koeb,Primary,High,Existing,"MELLEM – overlapper /kvalitet. Guiden skal være køberens tjekliste, /kvalitet vores standard.",Delvist,unknown,unknown,unknown,
er refurbished computere gode,da,commercial investigation,Tillid: stand,/kvalitet,Secondary,High,Existing,"MELLEM – overlapper /vejledninger/tjek-brugt-baerbar-foer-koeb (stand, batteri) og /ydelser/klargoering-og-test (funktionstest).",Delvist,unknown,unknown,unknown,Indvendingssøgning – høj konverteringsværdi.
reparation af firmacomputere,da,commercial,Service: reparation,/reparation,Primary,Medium,Existing,LAV – overlapper /vejledninger/reparere-eller-koebe-ny og /vejledninger/opgrader-ram-i-baerbar.,Ja,unknown,unknown,unknown,
opgradere ram i bærbar,da,informational,Service: reparation,/vejledninger/opgrader-ram-i-baerbar,Primary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
hvor meget ram har man brug for,da,informational,Service: reparation,/vejledninger/ram-og-ssd-til-kontormaskiner,Primary,High,New,None,Delvist,unknown,unknown,unknown,
skifte ssd i bærbar,da,informational,Service: reparation,/vejledninger/ram-og-ssd-til-kontormaskiner,Secondary,Medium,New,None,Delvist,unknown,unknown,unknown,
reparere eller købe ny computer,da,commercial investigation,Service: reparation,/vejledninger/reparere-eller-koebe-ny,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,
windows 11 krav gammel computer,da,informational,Service: reparation,/vejledninger/windows-11-paa-aeldre-maskine,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Windows 10 end-of-life driver reel efterspørgsel lige nu.
windows 10 support slut virksomhed,da,informational,Service: reparation,/vejledninger/windows-10-support-slutter,Primary,High,New,None,Ja,unknown,unknown,unknown,Tidsbestemt efterspørgsel – stærk anledning til at kontakte Kestro.
nordisk tastatur på importeret computer,da,informational,Service: klargøring,/ydelser/nordisk-tilpasning,Primary,Medium,Existing,None,Ja,unknown,unknown,unknown,
dansk tastatur skift,da,informational,Service: klargøring,/ydelser/nordisk-tilpasning,Secondary,Medium,Existing,None,Ja,unknown,unknown,unknown,
klargøring af computere til medarbejdere,da,commercial,Service: klargøring,/ydelser/klargoering-og-test,Primary,High,Existing,MELLEM – overlapper /kvalitet på funktionstest-ord.,Ja,unknown,unknown,unknown,
levering af it-udstyr til virksomheder,da,commercial,Service: klargøring,/ydelser/levering,Primary,Medium,Existing,None,Ja,unknown,unknown,unknown,
tco på firmacomputere,da,informational,Beslutning: økonomi,/vejledninger/tco-paa-firmacomputere,Primary,Medium,New,None,Ja,unknown,unknown,unknown,
levetid på en firmacomputer,da,informational,Beslutning: økonomi,/vejledninger/tco-paa-firmacomputere,Secondary,Medium,New,None,Ja,unknown,unknown,unknown,
spare penge på it-indkøb,da,commercial investigation,Beslutning: økonomi,/vejledninger/tco-paa-firmacomputere,Secondary,Medium,New,None,Delvist,unknown,unknown,unknown,
kestro,da,navigational,Brand,/,Secondary,High,Existing,None,Delvist,unknown,unknown,unknown,"Brandsøgning – skal ejes fuldstændigt, inkl. Google Business Profile."
kestro anmeldelser,da,navigational,Brand,/om-os,Secondary,Medium,Existing,None,Delvist,unknown,unknown,unknown,Kræver rigtige kunder og profiler først – ingen opdigtede anmeldelser.
refurbished business laptops,en,commercial,Engelsk,/en/produkter/baerbare-computere,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,Sekundært marked – engelsk side findes allerede.
used business computers,en,commercial,Engelsk,/en/produkter,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,
refurbished laptops for business,en,commercial,Engelsk,/en/produkter/baerbare-computere,Secondary,High,Existing,None,Delvist,unknown,unknown,unknown,
it equipment for companies,en,commercial,Engelsk,/en/produkter,Secondary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
it sourcing partner,en,commercial,Engelsk,/en/ydelser/sourcing-og-indkoeb,Primary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
bulk laptop purchase for company,en,transactional,Engelsk,/en/flaadeloesninger,Primary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
refurbished thinkpad t480,en,commercial,Engelsk,/en/modeller/lenovo-thinkpad-t480,Primary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
refurbished hp elitebook 840,en,commercial,Engelsk,/en/modeller/hp-elitebook-840,Primary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
secure data erasure business,en,informational,Engelsk,/en/vejledninger/slet-data-foer-du-saelger,Primary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
sell used it equipment company,en,transactional,Engelsk,/en/saelg-til-os,Primary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
grade a refurbished meaning,en,informational,Engelsk,/en/kvalitet,Primary,Low,Existing,None,Delvist,unknown,unknown,unknown,
nordic keyboard laptop,en,informational,Engelsk,/en/ydelser/nordisk-tilpasning,Primary,Low,Existing,None,Delvist,unknown,unknown,unknown,
brugte computere aarhus,da,commercial,Lokalt,/kontakt,Primary,High,Existing,None,Delvist,unknown,unknown,unknown,"Kestro sidder i Aarhus – lokal intention er reel, men kræver CVR/adresse og Google Business Profile først."
it-udstyr til virksomheder aarhus,da,commercial,Lokalt,/kontakt,Secondary,Medium,Existing,None,Ja,unknown,unknown,unknown,Samme forudsætning som ovenfor.
refurbished computere københavn,da,commercial,Lokalt,— (ikke målrettet),—,Low,—,None,Delvist,unknown,unknown,unknown,Ingen tilstedeværelse i København. En lokalside uden en adresse er en tom side.
levering af it-udstyr i hele danmark,da,commercial,Lokalt,/ydelser/levering,Secondary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
brugt it-udstyr norge,no/da,commercial,Lokalt,— (ikke målrettet),—,Medium,—,None,Delvist,unknown,unknown,unknown,"Ingen norsk sprogversion. hreflang til en side, der ikke findes, skader mere end den gavner."
brugte computere med garanti,da,commercial,Kerne,/kvalitet,Secondary,High,Existing,"MELLEM – overlapper /vejledninger/tjek-brugt-baerbar-foer-koeb (stand, batteri) og /ydelser/klargoering-og-test (funktionstest).",Ja,unknown,unknown,unknown,
køb brugte computere til kontoret,da,transactional,Kerne,/produkter,Secondary,High,Existing,"MELLEM – /modeller bærer også ""brugte erhvervscomputere"" i sin title.",Ja,unknown,unknown,unknown,
refurbished pc til kontor,da,commercial,Kerne,/produkter/stationaere-computere,Secondary,High,Existing,None,Ja,unknown,unknown,unknown,
b2b refurbished it,da,commercial,Kerne,/produkter,Secondary,Medium,Existing,"MELLEM – /modeller bærer også ""brugte erhvervscomputere"" i sin title.",Ja,unknown,unknown,unknown,
brugt hardware til virksomheder,da,commercial,Kerne,/produkter,Secondary,Medium,Existing,"MELLEM – /modeller bærer også ""brugte erhvervscomputere"" i sin title.",Ja,unknown,unknown,unknown,
indkøb af 50 bærbare,da,transactional,B2B: flåde,/flaadeloesninger,Secondary,Medium,Existing,"MELLEM – overlapper /ydelser/opstart-af-arbejdspladser på ""udstyr til medarbejdere"".",Ja,unknown,unknown,unknown,
computere til hele kontoret,da,commercial,B2B: flåde,/flaadeloesninger,Secondary,High,Existing,"MELLEM – overlapper /ydelser/opstart-af-arbejdspladser på ""udstyr til medarbejdere"".",Ja,unknown,unknown,unknown,
udrulning af nye computere,da,commercial,B2B: flåde,/ydelser/levering,Secondary,Medium,Existing,None,Ja,unknown,unknown,unknown,
ens computere til alle medarbejdere,da,commercial,B2B: flåde,/vejledninger/standardiser-firmacomputere,Secondary,High,New,None,Ja,unknown,unknown,unknown,
it-udstyr til skoler og institutioner,da,commercial,B2B: flåde,— (ikke målrettet),—,Low,—,None,Ja,unknown,unknown,unknown,"Offentligt indkøb kræver udbudserfaring, der ikke er beskrevet nogen steder."
indkøbspartner it-udstyr,da,commercial,B2B: indkøb,/ydelser/sourcing-og-indkoeb,Secondary,High,Existing,None,Ja,unknown,unknown,unknown,
skaffe specifik computermodel,da,transactional,B2B: indkøb,/ydelser/sourcing-og-indkoeb,Secondary,Medium,Existing,None,Ja,unknown,unknown,unknown,Matcher præcis Kestros model: vi sourcer per ordre.
tilbud på it-udstyr,da,transactional,B2B: indkøb,/tilbud,Primary,High,Existing,HØJ – /flaadeloesninger/forespoergsel er den samme intention (få et tilbud) på en anden URL.,Ja,unknown,unknown,unknown,Direkte konverteringsterm – den nye /tilbud-side ejer den.
hvad koster 20 bærbare til virksomheden,da,commercial investigation,B2B: indkøb,/priser,Secondary,High,Existing,"LAV – hold ""hvad koster"" her og ""få et tilbud"" på /tilbud, ellers smelter de sammen.",Ja,unknown,unknown,unknown,
refurbished garanti 2 år,da,commercial investigation,Tillid: stand,/kvalitet,Secondary,Medium,Existing,"MELLEM – overlapper /vejledninger/tjek-brugt-baerbar-foer-koeb (stand, batteri) og /ydelser/klargoering-og-test (funktionstest).",Delvist,unknown,unknown,unknown,"Konkurrenter markedsfører 2 år – Kestro skal svare ærligt, ikke matche påstanden."
reklamation på brugt it-udstyr,da,informational,Tillid: stand,/kvalitet,Secondary,Medium,Existing,"MELLEM – overlapper /vejledninger/tjek-brugt-baerbar-foer-koeb (stand, batteri) og /ydelser/klargoering-og-test (funktionstest).",Delvist,unknown,unknown,unknown,Kræver handelsbetingelser – se P0 i den tidligere gennemgang.
funktionstest af brugt computer,da,informational,Tillid: stand,/ydelser/klargoering-og-test,Secondary,Medium,Existing,MELLEM – overlapper /kvalitet på funktionstest-ord.,Delvist,unknown,unknown,unknown,
udskift batteri i bærbar,da,informational,Service: reparation,/reparation,Secondary,Medium,Existing,LAV – overlapper /vejledninger/reparere-eller-koebe-ny og /vejledninger/opgrader-ram-i-baerbar.,Delvist,unknown,unknown,unknown,
langsom computer på arbejdet,da,informational,Service: reparation,/vejledninger/reparere-eller-koebe-ny,Secondary,High,Existing,None,Delvist,unknown,unknown,unknown,Problem-søgning der fører til opgradering eller udskiftning.
ssd opgradering firmacomputere,da,commercial,Service: reparation,/vejledninger/ram-og-ssd-til-kontormaskiner,Secondary,Medium,New,None,Ja,unknown,unknown,unknown,
afskrivning på it-udstyr,da,informational,Beslutning: økonomi,— (ikke målrettet),—,Low,—,None,Delvist,unknown,unknown,unknown,Regnskabsemne uden for Kestros kompetence.
co2 besparelse ved genbrug af computer,da,informational,Beslutning: økonomi,/om-os,Secondary,Low,Existing,None,Delvist,unknown,unknown,unknown,Kun med kilde – ingen opfundne tal.
windows 11 pro på brugt computer,da,informational,Beslutning: software,/vejledninger/windows-11-paa-aeldre-maskine,Secondary,High,Existing,None,Delvist,unknown,unknown,unknown,
licenser til firmacomputere,da,informational,Beslutning: software,/ydelser/nordisk-tilpasning,Secondary,Medium,Existing,None,Ja,unknown,unknown,unknown,
tpm 2.0 krav,da,informational,Beslutning: software,/vejledninger/windows-11-paa-aeldre-maskine,Secondary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
refurbished dell latitude business,en,commercial,Engelsk,/en/modeller/dell-latitude-5410,Primary,Medium,Existing,None,Delvist,unknown,unknown,unknown,
